symbol,date,open,high,low,close,volume
"DCT","2006-10-10","32","32","32","32","102930"
"DCT","2006-10-11","30.4","30.4","30.4","30.4","150550"
"DCT","2006-10-12","31.9","31.9","31.9","31.9","348060"
"DCT","2006-10-13","33.4","33.4","33.4","33.4","105900"
"DCT","2006-10-16","35","35","35","35","44550"
"DCT","2006-10-17","36.7","36.7","34","34","306880"
"DCT","2006-10-18","32.6","33","32.6","33","156080"
"DCT","2006-10-19","33.5","34","33.5","34","53240"
"DCT","2006-10-20","34","34","33.5","33.5","61210"
"DCT","2006-10-23","33","33","32.7","32.9","38340"
"DCT","2006-10-24","32.5","32.5","32.5","32.5","66830"
"DCT","2006-10-25","32.3","32.3","32","32","57370"
"DCT","2006-10-26","31.5","31.6","31.5","31.6","80720"
"DCT","2006-10-27","31","31","31","31","149400"
"DCT","2006-10-30","30.5","30.5","29.7","29.7","68570"
"DCT","2006-10-31","29","29.5","28.6","29.5","108970"
"DCT","2006-11-01","30.4","30.9","30.4","30.9","51520"
"DCT","2006-11-02","31.5","31.5","30.8","30.8","68230"
"DCT","2006-11-03","30.5","30.5","30.2","30.2","42450"
"DCT","2006-11-06","30.2","30.5","30.2","30.3","46580"
"DCT","2006-11-07","30.3","30.3","30.2","30.2","51770"
"DCT","2006-11-08","30.2","30.2","30","30","38750"
"DCT","2006-11-09","30","30","29.8","29.8","48450"
"DCT","2006-11-10","29.7","29.7","29.4","29.4","61640"
"DCT","2006-11-13","29","29","28.8","28.8","75540"
"DCT","2006-11-14","28.8","28.8","28.8","28.8","63810"
"DCT","2006-11-15","29","29","29","29","100920"
"DCT","2006-11-16","29","29.2","29","29.2","49860"
"DCT","2006-11-17","29","29.3","29","29.2","25290"
"DCT","2006-11-20","29","29","28.6","28.6","43300"
"DCT","2006-11-21","28.3","28.3","28","28","51810"
"DCT","2006-11-22","28","28","27.5","27.5","49430"
"DCT","2006-11-23","27.5","28.5","27.5","28.5","60650"
"DCT","2006-11-24","29.9","29.9","29.9","29.9","67910"
"DCT","2006-11-27","29.9","29.9","28.5","28.5","29270"
"DCT","2006-11-28","28","28","28","28","45030"
"DCT","2006-11-29","28","28","27.6","27.7","28450"
"DCT","2006-11-30","27.7","28","27.7","27.7","53960"
"DCT","2006-12-01","27.5","27.5","27.3","27.3","31960"
"DCT","2006-12-04","27.6","27.6","27.1","27.1","47780"
"DCT","2006-12-05","28.4","28.4","27.7","27.7","34100"
"DCT","2006-12-06","27.5","27.5","27.2","27.5","47210"
"DCT","2006-12-07","27.5","27.5","27.2","27.2","65140"
"DCT","2006-12-08","27.2","27.2","27.2","27.2","7370"
"DCT","2006-12-11","27.5","27.5","27.2","27.2","36450"
"DCT","2006-12-12","27.2","27.2","25.1","25.5","36730"
"DCT","2006-12-13","24.3","25","24.3","24.9","68270"
"DCT","2006-12-14","24","24.5","24","24.3","62220"
"DCT","2006-12-15","25.5","25.5","25.5","25.5","87910"
"DCT","2006-12-18","26.7","26.7","26.7","26.7","27500"
"DCT","2006-12-19","28","28","28","28","32620"
"DCT","2006-12-20","29.4","29.4","29.4","29.4","91580"
"DCT","2006-12-21","28.6","28.6","28","28","102250"
"DCT","2006-12-22","26.7","26.7","26.6","26.7","51980"
"DCT","2006-12-25","27","28","27","28","36280"
"DCT","2006-12-26","29","29","28","28","56650"
"DCT","2006-12-27","28","28","28","28","42640"
"DCT","2006-12-28","27.5","27.5","26.9","26.9","58300"
"DCT","2006-12-29","26","27","26","27","33630"
"DCT","2007-01-02","27","27.2","26.7","26.7","30200"
"DCT","2007-01-03","26.6","26.6","26.5","26.5","11530"
"DCT","2007-01-04","27","27","26.6","27","33800"
"DCT","2007-01-05","27","27","26.5","26.5","41750"
